id,Name,Image URL,Caption,Link,Trivia 1,Trivia 2,Trivia 3
15,Harrenhal,harrenhal.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Harrenhal,Where is the largest castle in all of Westeros,"What castle were Arya Stark, Gendry, and Hot Pie taken to as prisoners?",This cursed keep has been ruled by at least 12 different houses.
38,Inn at the Crossroads,crossroads.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Inn_at_the_Crossroads,This is where Catelyn Stark captures Tyrion Lannister,Where would you find Hot Pie's famous baked goods?,Mycah is killed while the Royal procession camps here on their way to King's Landing.
32,Riverrun,riverrun.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Riverrun,This castle is the ancestral home to House Tully,"After siding with the Lannisters, what castle is Walder Frey given control of?",Sluice gates can be opened to turn this castle into an island.
145,The Twins,twins.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/The_Twins,Where is the ancestral home of House Frey?,This castle's bridge spans the width of the Green Fork of the Trident,"Where does Roose Bolton say ""Jaime Lannister sends his regards."""
251,Casterly Rock,casterly.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Casterly_Rock,This castle is the home of House Lannister,This castle sits on top of a gold mine,The Unsullied take this castle with far less resistance than they had been expecting.
72,Highgarden,highgarden.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Highgarden,This house was long the home of House Tyrell,This castle is the region captial of The Reach,This castle is surrounded by golden roses and green fields
73,Horn Hill,hornhill.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Horn_Hill,This castle is the home of House Tarly,Samwell Tarly was raised in this castle.,"After two recent fiery deaths, the ruler of this castle would be Talla, daughter and third child of Randyll and Melissa"
77,Oldtown,oldtown.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Oldtown,Where is the oldest major city in Westeros?,This city is home to the Citadel and the order of maesters.,The aptly named House Hightower and their high tower are located in this ancient city. 
52,Storm's End,stormsend.jpg,Storm's end by Feliche. A Wiki of Ice and Fire,https://awoiaf.westeros.org/index.php/Storm%27s_End,Where is the ancestral home of House Baratheon,This castle was briefly held by King Renly Baratheon,This fortress is the capital of The Stormlands
197,Tarth,tarth.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Tarth,Brienne hails from this Island.,"Where is the ""Sapphire Isle?""",This Island's namesake house were bannermen of House Baratheon. Their seat is Evenfall Hall.
46,Dragonstone,dragonstone.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Dragonstone_(castle),"At the start of the series, this castle is held by Stannis Baratheon",Jon Snow seeks to mine Dragonglass from beneath this castle.,Aegon Targaryen I held this castle before conquering Westeros with his two sister-wives and fellow dragon riders. 
1,King's Landing,kingslanding.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/King's_Landing,This city is the capital of Westeros,Where would you find the Iron Throne?,Davos Seaworth is from the slums of this city.
96,Sunspear,sunspear.jpg,Sunspear by jonathanguzi. A Wiki of Ice and Fire,https://awoiaf.westeros.org/index.php/Sunspear,This castle is the capital of Dorne.,This castle's long-time lord was relegated to a wheelchair by gout.,Where would you find guard captain Areo Hotah?
98,The Water Gardens,watergardens.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Water_Gardens,"Prince Doran Martell spends much of his time at this palace, where he oversaw his daughters swimming with Myrcella Baratheon.",Ellaria Sand starts her coup of Dorne here.,This retreat is a respite in the desert located close to the capital of Dorne.
88,The Tower of Joy,towerjoy.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Tower_of_Joy,"This fortress was the location of a battle between Ned Stark and his bannermen, and members of the Kingsguard, as ned saught to rescue his sister.","Arthur Dayne, ""The Sword of the Morning"" was killed here.",Bran's greensight shows him a vision of his father doing battle in the past at this fortification.
199,Braavos,braavos.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Braavos,A titan overlooks this Free City,This city is home to the world famous Iron Bank,"Before becoming Arya's teacher, Syrio Forel was First Sword in this city."
194,Pentos,pentos.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Pentos,"Prior to her marriage to Khal Drogo, Daenerys Targaryen was living in this city, in the home of Illyrio Mopatis.",This city is ruled by a council of ruthless Magisters in all but name.,"After fleeing King's Landing in a crate, Tyrion Lannister first arrives here."
209,Volantis,volantis.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Volantis,"A brothel in this Free City is the spot of a chance encounter between Tyrion, Varys, and a twice exiled Jorah Mormont.","This city contains ""The Long Bridge,"" which spans the mouth of the Rhoyne River",Talisa Stark is from this Free City.
224,Vaes Dothrak,dothrak.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Vaes_Dothrak,Where is the only permanent settlement in The Dothraki Sea?,The entrance to this city is marked by two massive bronze statues,"The Dosh Khaleen, widows of slain Khals reside in this city."
220,Astapor,astapor.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Astapor,Where are the Unsullied trained and sold?,"Daenerys is nearly assassinated using a manticore in this city, before being saved by Barriston Selmy.","Missandei was previously owned by Kraznys mo Nakloz, a slave trader in this city."
221,Yunkai,yunkai.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Yunkai,This slave city is ruled by a group of oligarchs known as the Wise Masters.,"What city's leaders employed Daario Naharis, before he betrayed his contract to serve Daenerys?","This city's chief export are bedslaves trained in ""The Way of Seven Sighs."""
222,Meereen,meereen.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Meereen,This slaver city is marked by three massive pyramids.,The Great Pit of Daznak is located in this city. ,Where is Hizdahr zo Loraq from?
246,Qarth,qarth.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Qarth,What city is ruled by a group known as The Thirteen and a cabal of Warlocks?,Daenerys comes to this city after wandering with her Khalisar in the Red Wastes.,Xaro Xhoan Daxos seeks to be the king of this city.
166,Castle Black,castleblack.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Castle_Black,Where was Jon Snow Killed?,"This Castle is ruled not by a Lord, but a Lord Commander.",Daenerys' last living Great Uncle spent most of his life living at what castle?
